county,n,class_0_n,class_1_n,class_2_n,class_3_n,class_4_n,class_5_n
01045,14,0,0,14,0,0,0
01067,6,0,0,6,0,0,0
01069,26,0,0,26,0,0,0
01073,189,0,0,187,0,2,0
01081,48,0,0,48,0,0,0
01083,23,0,4,19,0,0,0
01089,95,0,4,91,0,0,0
01097,133,0,0,132,0,1,0
01101,71,0,0,71,0,0,0
01103,31,0,0,31,0,0,0
01117,55,0,0,55,0,0,0
01125,59,0,0,59,0,0,0
02020,59,56,0,3,0,0,0
04005,29,29,0,0,0,0,0
04013,1003,539,0,10,0,454,0
04015,59,59,0,0,0,0,0
04019,266,208,0,0,1,57,0
04021,91,88,0,0,0,3,0
04025,65,63,0,0,2,0,0
04027,64,57,7,0,0,0,0
05007,57,57,0,0,0,0,0
05031,22,22,0,0,0,0,0
05045,28,27,0,1,0,0,0
05119,107,90,1,16,0,0,0
05131,31,31,0,0,0,0,0
05143,54,47,1,6,0,0,0
06001,378,101,3,69,16,189,0
06007,54,44,1,9,0,0,0
06013,241,125,2,63,17,34,0
06019,221,124,2,4,0,91,0
06029,230,150,3,4,3,70,0
06031,30,25,5,0,0,0,0
06037,2493,551,2,175,17,1748,0
06039,33,30,3,0,0,0,0
06041,62,43,0,19,0,0,0
06047,62,54,8,0,0,0,0
06053,102,79,13,10,0,0,0
06055,40,27,0,10,3,0,0
06059,613,232,1,56,3,321,0
06061,90,73,1,10,0,6,0
06065,517,415,4,8,7,83,0
06067,363,176,20,56,3,108,0
06071,458,291,0,10,2,155,0
06073,734,435,1,81,0,217,0
06075,242,31,0,49,0,162,0
06077,174,109,38,2,0,25,0
06081,173,63,0,98,0,12,0
06083,107,77,8,20,2,0,0
06085,407,88,3,76,4,236,0
06087,69,36,1,32,0,0,0
06089,46,44,0,2,0,0,0
06095,100,65,2,5,28,0,0
06097,121,80,7,27,7,0,0
06099,112,82,7,6,0,17,0
06101,21,18,3,0,0,0,0
06107,101,80,18,0,3,0,0
06111,188,126,5,6,23,28,0
06113,53,38,14,0,0,1,0
08001,106,81,0,1,0,24,0
08005,160,102,0,8,1,49,0
08013,78,59,1,9,9,0,0
08014,24,23,0,0,0,1,0
08031,178,59,0,28,0,91,0
08035,72,72,0,0,0,0,0
08041,166,132,1,9,1,23,0
08059,146,106,1,6,5,28,0
08069,85,75,0,6,4,0,0
08077,31,29,0,2,0,0,0
08101,56,46,0,0,10,0,0
08123,81,71,10,0,0,0,0
09001,226,0,0,225,0,1,0
09003,235,0,0,230,0,5,0
09009,198,0,0,196,0,2,0
10003,144,0,2,141,0,1,0
11001,206,0,0,195,0,11,0
12001,58,0,0,58,0,0,0
12009,147,0,0,117,3,26,1
12011,415,0,0,0,35,380,0
12031,218,0,0,217,0,1,0
12033,78,2,0,75,0,1,0
12035,23,0,0,23,0,0,0
12057,332,0,0,288,1,43,0
12069,75,0,0,73,2,0,0
12071,219,0,0,124,26,69,0
12073,79,0,0,78,0,1,0
12081,93,0,0,61,2,30,0
12083,93,0,0,86,7,0,0
12086,703,0,0,0,68,635,0
12095,266,0,0,245,0,21,0
12097,58,0,0,58,0,0,0
12099,370,0,9,32,55,273,1
12103,271,0,0,60,0,211,0
12105,174,0,0,165,8,1,0
12111,67,1,0,40,23,3,0
12115,122,0,0,118,0,4,0
12117,89,0,0,89,0,0,0
12127,129,0,0,129,0,0,0
13021,48,0,0,47,0,1,0
13051,87,0,0,75,9,1,2
13059,34,0,0,34,0,0,0
13067,186,0,0,186,0,0,0
13089,203,0,0,203,0,0,0
13095,29,0,0,29,0,0,0
13121,327,0,0,321,0,6,0
13153,38,0,0,38,0,0,0
13185,29,0,0,29,0,0,0
13215,59,0,0,59,0,0,0
13225,8,0,0,8,0,0,0
13245,56,0,0,56,0,0,0
15003,328,172,0,151,3,2,0
16001,128,101,2,9,0,16,0
16005,23,20,0,0,3,0,0
16019,23,21,2,0,0,0,0
16027,54,49,5,0,0,0,0
16055,38,37,0,1,0,0,0
16077,2,2,0,0,0,0,0
16083,16,16,0,0,0,0,0
17019,48,0,48,0,0,0,0
17031,1191,0,0,0,0,1191,0
17043,175,0,0,0,0,175,0
17089,104,0,19,49,35,1,0
17093,21,0,17,0,4,0,0
17097,159,0,0,157,0,2,0
17113,47,0,47,0,0,0,0
17115,37,0,23,13,0,1,0
17141,13,0,13,0,0,0,0
17143,49,0,6,42,0,1,0
17167,54,0,21,32,0,1,0
17197,172,0,46,89,30,7,0
17201,80,0,14,65,0,1,0
18003,96,0,30,60,0,6,0
18005,16,0,13,3,0,0,0
18019,27,0,0,27,0,0,0
18035,34,0,34,0,0,0,0
18039,45,0,22,23,0,0,0
18057,57,0,19,37,0,1,0
18067,21,0,21,0,0,0,0
18081,28,0,18,7,1,2,0
18089,131,0,10,82,0,39,0
18095,39,0,39,0,0,0,0
18097,253,0,7,201,3,42,0
18105,33,0,0,33,0,0,0
18141,82,0,12,68,0,2,0
18157,43,0,19,23,0,1,0
18163,59,0,11,47,0,1,0
18167,32,0,3,29,0,0,0
19013,39,29,10,0,0,0,0
19049,19,16,3,0,0,0,0
19061,27,21,1,5,0,0,0
19103,36,28,8,0,0,0,0
19113,54,45,5,4,0,0,0
19121,4,4,0,0,0,0,0
19149,6,6,0,0,0,0,0
19153,112,78,2,32,0,0,0
19155,30,22,0,8,0,0,0
19163,48,29,9,10,0,0,0
19169,27,19,8,0,0,0,0
19181,14,13,1,0,0,0,0
19193,29,25,0,3,1,0,0
20045,27,18,1,8,0,0,0
20091,154,112,4,38,0,0,0
20149,4,4,0,0,0,0,0
20161,17,15,0,2,0,0,0
20173,135,101,3,14,0,17,0
20177,46,38,0,8,0,0,0
20209,64,42,1,21,0,0,0
21059,24,0,22,1,0,1,0
21067,82,0,0,15,62,5,0
21111,216,0,0,215,0,1,0
21227,27,0,1,22,1,3,0
22015,33,31,0,2,0,0,0
22017,74,72,0,2,0,0,0
22019,56,56,0,0,0,0,0
22033,108,80,2,26,0,0,0
22051,126,66,2,17,6,35,0
22055,58,53,1,4,0,0,0
22071,183,37,2,19,12,112,1
23005,80,0,0,80,0,0,0
24021,65,0,1,62,1,1,0
24031,232,0,0,229,0,3,0
24033,214,0,0,211,0,3,0
24510,199,0,0,88,0,111,0
25005,130,0,0,129,0,1,0
25009,173,0,0,168,0,5,0
25013,104,0,0,102,0,2,0
25017,357,0,0,276,0,81,0
25021,154,0,0,138,0,16,0
25023,109,0,0,109,0,0,0
25025,234,0,0,58,0,176,0
25027,191,0,0,189,0,2,0
26025,40,0,10,30,0,0,0
26037,23,0,12,11,0,0,0
26045,29,0,13,16,0,0,0
26049,134,0,4,130,0,0,0
26065,84,0,12,70,0,2,0
26077,68,0,3,64,0,1,0
26081,145,0,0,142,0,3,0
26099,243,0,4,50,0,189,0
26125,350,0,0,306,0,44,0
26161,107,0,8,98,0,1,0
26163,625,0,0,243,2,380,0
27003,90,83,2,5,0,0,0
27009,10,10,0,0,0,0,0
27037,106,84,7,15,0,0,0
27053,329,174,20,134,0,1,0
27109,35,30,0,5,0,0,0
27123,143,71,6,66,0,0,0
27137,67,60,0,7,0,0,0
27141,19,19,0,0,0,0,0
27145,37,32,1,4,0,0,0
27163,59,57,1,1,0,0,0
28033,41,21,0,20,0,0,0
28047,81,0,0,81,0,0,0
28049,67,58,0,9,0,0,0
28089,26,25,0,1,0,0,0
28121,37,30,0,7,0,0,0
29019,40,32,0,8,0,0,0
29021,26,16,2,8,0,0,0
29037,24,24,0,0,0,0,0
29043,19,18,1,0,0,0,0
29047,55,47,2,6,0,0,0
29077,78,65,0,13,0,0,0
29095,227,142,5,80,0,0,0
29097,29,26,0,3,0,0,0
29145,13,13,0,0,0,0,0
29165,27,25,1,1,0,0,0
29183,85,73,3,9,0,0,0
29189,236,137,11,88,0,0,0
29510,104,25,3,48,0,28,0
30013,22,19,1,0,2,0,0
30031,23,19,0,2,2,0,0
30063,26,21,0,3,2,0,0
30111,33,26,1,4,2,0,0
31055,163,100,9,51,0,3,0
31079,14,12,2,0,0,0,0
31109,81,46,14,19,2,0,0
31153,47,40,7,0,0,0,0
32003,530,269,1,5,0,255,0
32031,135,101,0,2,11,21,0
32510,14,13,0,0,1,0,0
33011,103,0,0,101,0,2,0
34007,129,0,0,96,0,33,0
34011,41,0,0,39,0,2,0
34013,211,0,0,74,0,137,0
34017,183,0,0,0,0,183,0
