City,State,County,FIPS
New York city,New York,Bronx County,36005
New York city,New York,Kings County,36047
New York city,New York,New York County,36061
New York city,New York,Queens County,36081
New York city,New York,Richmond County,36085
Los Angeles city,California,Los Angeles County,06037
Chicago city,Illinois,Cook County,17031
Chicago city,Illinois,DuPage County,17043
Houston city,Texas,Fort Bend County,48157
Houston city,Texas,Harris County,48201
Houston city,Texas,Montgomery County,48339
Houston city,Texas,Waller County,48473
Phoenix city,Arizona,Maricopa County,04013
Philadelphia city,Pennsylvania,Philadelphia County,42101
San Antonio city,Texas,Bexar County,48029
San Antonio city,Texas,Comal County,48091
San Antonio city,Texas,Medina County,48325
San Diego city,California,San Diego County,06073
Dallas city,Texas,Collin County,48085
Dallas city,Texas,Dallas County,48113
Dallas city,Texas,Denton County,48121
Dallas city,Texas,Kaufman County,48257
Dallas city,Texas,Rockwall County,48397
Jacksonville city,Florida,Duval County,12031
Fort Worth city,Texas,Denton County,48121
Fort Worth city,Texas,Johnson County,48251
Fort Worth city,Texas,Parker County,48367
Fort Worth city,Texas,Tarrant County,48439
Fort Worth city,Texas,Wise County,48497
San Jose city,California,Santa Clara County,06085
Austin city,Texas,Bastrop County,48021
Austin city,Texas,Hays County,48209
Austin city,Texas,Travis County,48453
Austin city,Texas,Williamson County,48491
Charlotte city,North Carolina,Mecklenburg County,37119
Columbus city,Ohio,Delaware County,39041
Columbus city,Ohio,Fairfield County,39045
Columbus city,Ohio,Franklin County,39049
Indianapolis city (balance),Indiana,Marion County,18097
San Francisco city,California,San Francisco County,06075
Seattle city,Washington,King County,53033
Denver city,Colorado,Denver County,08031
Oklahoma City city,Oklahoma,Canadian County,40017
Oklahoma City city,Oklahoma,Cleveland County,40027
Oklahoma City city,Oklahoma,Oklahoma County,40109
Oklahoma City city,Oklahoma,Pottawatomie County,40125
Nashville-Davidson metropolitan government (balance),Tennessee,Davidson County,47037
Washington city,District of Columbia,District of Columbia,11001
El Paso city,Texas,El Paso County,48141
Las Vegas city,Nevada,Clark County,32003
Boston city,Massachusetts,Suffolk County,25025
Detroit city,Michigan,Wayne County,26163
Louisville/Jefferson County metro government (balance),Kentucky,Jefferson County,21111
Portland city,Oregon,Clackamas County,41005
Portland city,Oregon,Multnomah County,41051
Portland city,Oregon,Washington County,41067
Memphis city,Tennessee,Shelby County,47157
Baltimore city,Maryland,Baltimore city,24510
Milwaukee city,Wisconsin,Milwaukee County,55079
Milwaukee city,Wisconsin,Washington County,55131
Milwaukee city,Wisconsin,Waukesha County,55133
Albuquerque city,New Mexico,Bernalillo County,35001
Tucson city,Arizona,Pima County,04019
Fresno city,California,Fresno County,06019
Sacramento city,California,Sacramento County,06067
Atlanta city,Georgia,DeKalb County,13089
Atlanta city,Georgia,Fulton County,13121
Mesa city,Arizona,Maricopa County,04013
Kansas City city,Missouri,Cass County,29037
Kansas City city,Missouri,Clay County,29047
Kansas City city,Missouri,Jackson County,29095
Kansas City city,Missouri,Platte County,29165
Raleigh city,North Carolina,Durham County,37063
Raleigh city,North Carolina,Wake County,37183
Colorado Springs city,Colorado,El Paso County,08041
Omaha city,Nebraska,Douglas County,31055
Miami city,Florida,Miami-Dade County,12086
Virginia Beach city,Virginia,Virginia Beach city,51810
Long Beach city,California,Los Angeles County,06037
Oakland city,California,Alameda County,06001
Minneapolis city,Minnesota,Hennepin County,27053
Bakersfield city,California,Kern County,06029
Tulsa city,Oklahoma,Osage County,40113
Tulsa city,Oklahoma,Rogers County,40131
Tulsa city,Oklahoma,Tulsa County,40143
Tulsa city,Oklahoma,Wagoner County,40145
Tampa city,Florida,Hillsborough County,12057
Arlington city,Texas,Tarrant County,48439
Aurora city,Colorado,Adams County,08001
Aurora city,Colorado,Arapahoe County,08005
Aurora city,Colorado,Douglas County,08035
Wichita city,Kansas,Sedgwick County,20173
Cleveland city,Ohio,Cuyahoga County,39035
New Orleans city,Louisiana,Orleans Parish,22071
Henderson city,Nevada,Clark County,32003
Honolulu CCD,Hawaii,Honolulu County,15003
Anaheim city,California,Orange County,06059
Orlando city,Florida,Orange County,12095
Lexington-Fayette urban county,Kentucky,Fayette County,21067
Stockton city,California,San Joaquin County,06077
Riverside city,California,Riverside County,06065
Irvine city,California,Orange County,06059
Corpus Christi city,Texas,Aransas County,48007
Corpus Christi city,Texas,Kleberg County,48273
Corpus Christi city,Texas,Nueces County,48355
Corpus Christi city,Texas,San Patricio County,48409
Newark city,New Jersey,Essex County,34013
Santa Ana city,California,Orange County,06059
Cincinnati city,Ohio,Hamilton County,39061
Pittsburgh city,Pennsylvania,Allegheny County,42003
St. Paul city,Minnesota,Ramsey County,27123
Greensboro city,North Carolina,Guilford County,37081
Jersey City city,New Jersey,Hudson County,34017
Durham city,North Carolina,Durham County,37063
Durham city,North Carolina,Orange County,37135
Durham city,North Carolina,Wake County,37183
Lincoln city,Nebraska,Lancaster County,31109
North Las Vegas city,Nevada,Clark County,32003
Plano city,Texas,Collin County,48085
Plano city,Texas,Denton County,48121
Anchorage municipality,Alaska,Anchorage Municipality,02020
Gilbert town,Arizona,Maricopa County,04013
Madison city,Wisconsin,Dane County,55025
Reno city,Nevada,Washoe County,32031
Chandler city,Arizona,Maricopa County,04013
St. Louis city,Missouri,St. Louis city,29510
Chula Vista city,California,San Diego County,06073
Buffalo city,New York,Erie County,36029
Fort Wayne city,Indiana,Allen County,18003
Lubbock city,Texas,Lubbock County,48303
St. Petersburg city,Florida,Pinellas County,12103
Toledo city,Ohio,Lucas County,39095
