City,ST,2025 estimate,2020 census,Change,2020 land area_mi2,2020 land area_km2,2020 density_/ mi2,2020 density_/ km2,Location,City_State
New York,NY,8584629,8804190,−2.49%,300.5,778.3,29298,11312,40°40′N 73°56′W﻿ / ﻿40.66°N 73.94°W,New York_NY
Los Angeles,CA,3869089,3898747,−0.76%,469.5,1216.0,8304,3206,34°01′N 118°25′W﻿ / ﻿34.02°N 118.41°W,Los Angeles_CA
Chicago,IL,2731585,2746388,−0.54%,227.7,589.7,12061,4657,41°50′N 87°41′W﻿ / ﻿41.84°N 87.68°W,Chicago_IL
Houston,TX,2397315,2304580,+4.02%,640.4,1658.6,3599,1390,29°47′N 95°23′W﻿ / ﻿29.79°N 95.39°W,Houston_TX
Phoenix,AZ,1665481,1608139,+3.57%,518.0,1341.6,3105,1199,33°34′N 112°05′W﻿ / ﻿33.57°N 112.09°W,Phoenix_AZ
Philadelphia,PA,1574281,1603797,−1.84%,134.4,348.1,11933,4607,40°01′N 75°08′W﻿ / ﻿40.01°N 75.13°W,Philadelphia_PA
San Antonio,TX,1548422,1434625,+7.93%,498.8,1291.9,2876,1110,29°28′N 98°31′W﻿ / ﻿29.46°N 98.52°W,San Antonio_TX
San Diego,CA,1406106,1386932,+1.38%,325.9,844.1,4256,1643,32°49′N 117°08′W﻿ / ﻿32.81°N 117.14°W,San Diego_CA
Dallas,TX,1329491,1304379,+1.93%,339.6,879.6,3841,1483,32°47′N 96°46′W﻿ / ﻿32.79°N 96.77°W,Dallas_TX
Fort Worth,TX,1028117,918915,+11.88%,347.3,899.5,2646,1022,32°47′N 97°21′W﻿ / ﻿32.78°N 97.35°W,Fort Worth_TX
Jacksonville,FL,1017689,949611,+7.17%,747.3,1935.5,1271,491,30°20′N 81°40′W﻿ / ﻿30.34°N 81.66°W,Jacksonville_FL
Austin,TX,1002632,961855,+4.24%,319.9,828.5,3007,1161,30°18′N 97°45′W﻿ / ﻿30.30°N 97.75°W,Austin_TX
San Jose,CA,989814,1013240,−2.31%,178.3,461.8,5683,2194,37°18′N 121°49′W﻿ / ﻿37.30°N 121.81°W,San Jose_CA
Charlotte,NC,964784,874579,+10.31%,308.3,798.5,2837,1095,35°13′N 80°50′W﻿ / ﻿35.21°N 80.83°W,Charlotte_NC
Columbus,OH,938396,905748,+3.60%,220.0,569.8,4117,1590,39°59′N 82°59′W﻿ / ﻿39.99°N 82.99°W,Columbus_OH
Indianapolis,IN,901116,887642,+1.52%,361.6,936.5,2455,948,39°47′N 86°09′W﻿ / ﻿39.78°N 86.15°W,Indianapolis_IN
San Francisco,CA,826079,873965,−5.48%,46.9,121.5,18635,7195,37°44′N 123°02′W﻿ / ﻿37.73°N 123.03°W,San Francisco_CA
Seattle,WA,784777,737015,+6.48%,83.8,217.0,8795,3396,47°37′N 122°21′W﻿ / ﻿47.62°N 122.35°W,Seattle_WA
Denver,CO,740613,715522,+3.51%,153.1,396.5,4674,1805,39°46′N 104°53′W﻿ / ﻿39.76°N 104.88°W,Denver_CO
Nashville,TN,721074,689447,+4.59%,475.8,1232.3,1449,559,36°10′N 86°47′W﻿ / ﻿36.17°N 86.79°W,Nashville_TN
Oklahoma City,OK,719849,681054,+5.70%,606.2,1570.1,1123,434,35°28′N 97°31′W﻿ / ﻿35.47°N 97.51°W,Oklahoma City_OK
Washington,DC,693645,689545,+0.59%,61.1,158.2,11286,4358,38°54′N 77°01′W﻿ / ﻿38.90°N 77.02°W,Washington_DC
El Paso,TX,683012,678815,+0.62%,258.4,669.3,2627,1014,31°51′N 106°26′W﻿ / ﻿31.85°N 106.43°W,El Paso_TX
Las Vegas,NV,679817,641903,+5.91%,141.8,367.3,4527,1748,36°14′N 115°16′W﻿ / ﻿36.23°N 115.26°W,Las Vegas_NV
Boston,MA,672973,675647,−0.40%,48.3,125.1,13989,5401,42°20′N 71°01′W﻿ / ﻿42.34°N 71.02°W,Boston_MA
Detroit,MI,649095,639111,+1.56%,138.7,359.2,4608,1779,42°23′N 83°06′W﻿ / ﻿42.38°N 83.10°W,Detroit_MI
Louisville,KY,641962,633045,+1.41%,324.9,841.5,1948,752,38°10′N 85°39′W﻿ / ﻿38.17°N 85.65°W,Louisville_KY
Portland,OR,635109,652503,−2.67%,133.5,345.8,4888,1887,45°32′N 122°39′W﻿ / ﻿45.54°N 122.65°W,Portland_OR
Memphis,TN,609647,633104,−3.71%,297.0,769.2,2132,823,35°07′N 89°58′W﻿ / ﻿35.11°N 89.97°W,Memphis_TN
Baltimore,MD,569997,585708,−2.68%,80.9,209.5,7240,2800,39°18′N 76°37′W﻿ / ﻿39.30°N 76.61°W,Baltimore_MD
Milwaukee,WI,562407,577222,−2.57%,96.2,249.2,6000,2300,43°04′N 87°58′W﻿ / ﻿43.06°N 87.97°W,Milwaukee_WI
Albuquerque,NM,556588,564559,−1.41%,187.3,485.1,3014,1164,35°06′N 106°39′W﻿ / ﻿35.10°N 106.65°W,Albuquerque_NM
Fresno,CA,555549,542107,+2.48%,115.2,298.4,4706,1817,36°47′N 119°47′W﻿ / ﻿36.78°N 119.79°W,Fresno_CA
Tucson,AZ,548371,542629,+1.06%,241.0,624.2,2252,870,32°09′N 110°52′W﻿ / ﻿32.15°N 110.87°W,Tucson_AZ
Sacramento,CA,536449,524943,+2.19%,98.6,255.4,5324,2056,38°34′N 121°28′W﻿ / ﻿38.57°N 121.47°W,Sacramento_CA
Atlanta,GA,529110,498715,+6.09%,135.3,350.4,3686,1423,33°46′N 84°25′W﻿ / ﻿33.76°N 84.42°W,Atlanta_GA
Kansas City,MO,521220,508090,+2.58%,314.7,815.1,1615,624,39°07′N 94°34′W﻿ / ﻿39.12°N 94.56°W,Kansas City_MO
Mesa,AZ,513656,504258,+1.86%,138.7,359.2,3636,1404,33°24′N 111°43′W﻿ / ﻿33.40°N 111.72°W,Mesa_AZ
Raleigh,NC,506306,467665,+8.26%,147.1,381.0,3179,1227,35°50′N 78°38′W﻿ / ﻿35.83°N 78.64°W,Raleigh_NC
Colorado Springs,CO,494743,478961,+3.30%,195.4,506.1,2451,946,38°52′N 104°46′W﻿ / ﻿38.87°N 104.76°W,Colorado Springs_CO
Miami,FL,489812,442241,+10.76%,36.0,93.2,12284,4743,25°47′N 80°13′W﻿ / ﻿25.78°N 80.21°W,Miami_FL
Omaha,NE,488797,486051,+0.56%,141.6,366.7,3433,1325,41°16′N 96°03′W﻿ / ﻿41.26°N 96.05°W,Omaha_NE
Virginia Beach,VA,453737,459470,−1.25%,244.7,633.8,1878,725,36°47′N 76°02′W﻿ / ﻿36.78°N 76.03°W,Virginia Beach_VA
Long Beach,CA,450469,466742,−3.49%,50.7,131.3,9206,3554,33°47′N 118°10′W﻿ / ﻿33.78°N 118.17°W,Long Beach_CA
Oakland,CA,440838,440646,+0.04%,55.9,144.8,7883,3044,37°46′N 122°14′W﻿ / ﻿37.77°N 122.23°W,Oakland_CA
Minneapolis,MN,430324,429954,+0.09%,54.0,139.9,7962,3074,44°58′N 93°16′W﻿ / ﻿44.96°N 93.27°W,Minneapolis_MN
Bakersfield,CA,422165,403455,+4.64%,149.8,388.0,2693,1040,35°21′N 119°02′W﻿ / ﻿35.35°N 119.04°W,Bakersfield_CA
Tulsa,OK,416209,413066,+0.76%,197.5,511.5,2091,807,36°08′N 95°54′W﻿ / ﻿36.13°N 95.90°W,Tulsa_OK
Tampa,FL,413554,384959,+7.43%,114.0,295.3,3377,1304,27°58′N 82°28′W﻿ / ﻿27.97°N 82.47°W,Tampa_FL
Aurora,CO,410053,386261,+6.16%,160.1,414.7,2413,932,39°42′N 104°43′W﻿ / ﻿39.70°N 104.72°W,Aurora_CO
Arlington,TX,402134,394266,+2.00%,95.9,248.4,4111,1587,32°42′N 97°07′W﻿ / ﻿32.70°N 97.12°W,Arlington_TX
Wichita,KS,400987,397532,+0.87%,162.0,419.6,2454,947,37°41′N 97°21′W﻿ / ﻿37.69°N 97.35°W,Wichita_KS
Cleveland,OH,363608,372624,−2.42%,77.7,201.2,4796,1852,41°29′N 81°41′W﻿ / ﻿41.48°N 81.68°W,Cleveland_OH
New Orleans,LA,362154,383997,−5.69%,169.5,439.0,2265,875,30°03′N 89°56′W﻿ / ﻿30.05°N 89.93°W,New Orleans_LA
Henderson,NV,353289,317610,+11.23%,106.2,275.1,2991,1155,36°01′N 115°02′W﻿ / ﻿36.01°N 115.04°W,Henderson_NV
Honolulu,HI,341868,350964,−2.59%,60.5,156.7,5801,2240,21°19′N 157°51′W﻿ / ﻿21.32°N 157.85°W,Honolulu_HI
Anaheim,CA,341008,346824,−1.68%,50.3,130.3,6895,2662,33°52′N 117°46′W﻿ / ﻿33.86°N 117.76°W,Anaheim_CA
Orlando,FL,333888,307573,+8.56%,110.6,286.5,2781,1074,28°25′N 81°15′W﻿ / ﻿28.41°N 81.25°W,Orlando_FL
Lexington,KY,329751,322570,+2.23%,283.6,734.5,1137,439,38°02′N 84°28′W﻿ / ﻿38.04°N 84.46°W,Lexington_KY
Stockton,CA,324597,320804,+1.18%,62.2,161.1,5158,1992,37°59′N 121°19′W﻿ / ﻿37.98°N 121.31°W,Stockton_CA
Newark,NJ,323808,311549,+3.93%,24.1,62.4,12927,4991,40°43′N 74°10′W﻿ / ﻿40.72°N 74.17°W,Newark_NJ
Riverside,CA,323057,314998,+2.56%,81.2,210.3,3879,1498,33°56′N 117°23′W﻿ / ﻿33.94°N 117.39°W,Riverside_CA
Irvine,CA,318764,307670,+3.61%,65.6,169.9,4690,1810,33°41′N 117°46′W﻿ / ﻿33.68°N 117.77°W,Irvine_CA
Corpus Christi,TX,317247,317863,−0.19%,162.2,420.1,1960,760,27°45′N 97°10′W﻿ / ﻿27.75°N 97.17°W,Corpus Christi_TX
Santa Ana,CA,315586,310227,+1.73%,27.3,70.7,11364,4388,33°44′N 117°53′W﻿ / ﻿33.74°N 117.88°W,Santa Ana_CA
Cincinnati,OH,314367,309317,+1.63%,77.8,201.5,3976,1535,39°08′N 84°31′W﻿ / ﻿39.14°N 84.51°W,Cincinnati_OH
