rank,city,state,city_state,population_2025_estimate,county,county_fips,fips_city_name,fips_state_name,matched_key
1,New York,NY,New York_NY,8584629,Bronx County,36005,New York city,New York,New York_NY
1,New York,NY,New York_NY,8584629,Kings County,36047,New York city,New York,New York_NY
1,New York,NY,New York_NY,8584629,New York County,36061,New York city,New York,New York_NY
1,New York,NY,New York_NY,8584629,Queens County,36081,New York city,New York,New York_NY
1,New York,NY,New York_NY,8584629,Richmond County,36085,New York city,New York,New York_NY
2,Los Angeles,CA,Los Angeles_CA,3869089,Los Angeles County,06037,Los Angeles city,California,Los Angeles_CA
3,Chicago,IL,Chicago_IL,2731585,Cook County,17031,Chicago city,Illinois,Chicago_IL
3,Chicago,IL,Chicago_IL,2731585,DuPage County,17043,Chicago city,Illinois,Chicago_IL
4,Houston,TX,Houston_TX,2397315,Fort Bend County,48157,Houston city,Texas,Houston_TX
4,Houston,TX,Houston_TX,2397315,Harris County,48201,Houston city,Texas,Houston_TX
4,Houston,TX,Houston_TX,2397315,Montgomery County,48339,Houston city,Texas,Houston_TX
4,Houston,TX,Houston_TX,2397315,Waller County,48473,Houston city,Texas,Houston_TX
5,Phoenix,AZ,Phoenix_AZ,1665481,Maricopa County,04013,Phoenix city,Arizona,Phoenix_AZ
6,Philadelphia,PA,Philadelphia_PA,1574281,Philadelphia County,42101,Philadelphia city,Pennsylvania,Philadelphia_PA
7,San Antonio,TX,San Antonio_TX,1548422,Bexar County,48029,San Antonio city,Texas,San Antonio_TX
7,San Antonio,TX,San Antonio_TX,1548422,Comal County,48091,San Antonio city,Texas,San Antonio_TX
7,San Antonio,TX,San Antonio_TX,1548422,Medina County,48325,San Antonio city,Texas,San Antonio_TX
8,San Diego,CA,San Diego_CA,1406106,San Diego County,06073,San Diego city,California,San Diego_CA
9,Dallas,TX,Dallas_TX,1329491,Collin County,48085,Dallas city,Texas,Dallas_TX
9,Dallas,TX,Dallas_TX,1329491,Dallas County,48113,Dallas city,Texas,Dallas_TX
9,Dallas,TX,Dallas_TX,1329491,Denton County,48121,Dallas city,Texas,Dallas_TX
9,Dallas,TX,Dallas_TX,1329491,Kaufman County,48257,Dallas city,Texas,Dallas_TX
9,Dallas,TX,Dallas_TX,1329491,Rockwall County,48397,Dallas city,Texas,Dallas_TX
10,Fort Worth,TX,Fort Worth_TX,1028117,Denton County,48121,Fort Worth city,Texas,Fort Worth_TX
10,Fort Worth,TX,Fort Worth_TX,1028117,Johnson County,48251,Fort Worth city,Texas,Fort Worth_TX
10,Fort Worth,TX,Fort Worth_TX,1028117,Parker County,48367,Fort Worth city,Texas,Fort Worth_TX
10,Fort Worth,TX,Fort Worth_TX,1028117,Tarrant County,48439,Fort Worth city,Texas,Fort Worth_TX
10,Fort Worth,TX,Fort Worth_TX,1028117,Wise County,48497,Fort Worth city,Texas,Fort Worth_TX
11,Jacksonville,FL,Jacksonville_FL,1017689,Duval County,12031,Jacksonville city,Florida,Jacksonville_FL
12,Austin,TX,Austin_TX,1002632,Bastrop County,48021,Austin city,Texas,Austin_TX
12,Austin,TX,Austin_TX,1002632,Hays County,48209,Austin city,Texas,Austin_TX
12,Austin,TX,Austin_TX,1002632,Travis County,48453,Austin city,Texas,Austin_TX
12,Austin,TX,Austin_TX,1002632,Williamson County,48491,Austin city,Texas,Austin_TX
13,San Jose,CA,San Jose_CA,989814,Santa Clara County,06085,San Jose city,California,San Jose_CA
14,Charlotte,NC,Charlotte_NC,964784,Mecklenburg County,37119,Charlotte city,North Carolina,Charlotte_NC
15,Columbus,OH,Columbus_OH,938396,Delaware County,39041,Columbus city,Ohio,Columbus_OH
15,Columbus,OH,Columbus_OH,938396,Fairfield County,39045,Columbus city,Ohio,Columbus_OH
15,Columbus,OH,Columbus_OH,938396,Franklin County,39049,Columbus city,Ohio,Columbus_OH
16,Indianapolis,IN,Indianapolis_IN,901116,Marion County,18097,Indianapolis city (balance),Indiana,Indianapolis_IN
17,San Francisco,CA,San Francisco_CA,826079,San Francisco County,06075,San Francisco city,California,San Francisco_CA
18,Seattle,WA,Seattle_WA,784777,King County,53033,Seattle city,Washington,Seattle_WA
19,Denver,CO,Denver_CO,740613,Denver County,08031,Denver city,Colorado,Denver_CO
20,Nashville,TN,Nashville_TN,721074,Davidson County,47037,Nashville-Davidson metropolitan government (balance),Tennessee,Nashville_TN
21,Oklahoma City,OK,Oklahoma City_OK,719849,Canadian County,40017,Oklahoma City city,Oklahoma,Oklahoma City_OK
21,Oklahoma City,OK,Oklahoma City_OK,719849,Cleveland County,40027,Oklahoma City city,Oklahoma,Oklahoma City_OK
21,Oklahoma City,OK,Oklahoma City_OK,719849,Oklahoma County,40109,Oklahoma City city,Oklahoma,Oklahoma City_OK
21,Oklahoma City,OK,Oklahoma City_OK,719849,Pottawatomie County,40125,Oklahoma City city,Oklahoma,Oklahoma City_OK
22,Washington,DC,Washington_DC,693645,District of Columbia,11001,Washington city,District of Columbia,Washington_DC
23,El Paso,TX,El Paso_TX,683012,El Paso County,48141,El Paso city,Texas,El Paso_TX
24,Las Vegas,NV,Las Vegas_NV,679817,Clark County,32003,Las Vegas city,Nevada,Las Vegas_NV
25,Boston,MA,Boston_MA,672973,Suffolk County,25025,Boston city,Massachusetts,Boston_MA
26,Detroit,MI,Detroit_MI,649095,Wayne County,26163,Detroit city,Michigan,Detroit_MI
27,Louisville,KY,Louisville_KY,641962,Jefferson County,21111,Louisville/Jefferson County metro government (balance),Kentucky,Louisville_KY
28,Portland,OR,Portland_OR,635109,Clackamas County,41005,Portland city,Oregon,Portland_OR
28,Portland,OR,Portland_OR,635109,Multnomah County,41051,Portland city,Oregon,Portland_OR
28,Portland,OR,Portland_OR,635109,Washington County,41067,Portland city,Oregon,Portland_OR
29,Memphis,TN,Memphis_TN,609647,Shelby County,47157,Memphis city,Tennessee,Memphis_TN
30,Baltimore,MD,Baltimore_MD,569997,Baltimore city,24510,Baltimore city,Maryland,Baltimore_MD
31,Milwaukee,WI,Milwaukee_WI,562407,Milwaukee County,55079,Milwaukee city,Wisconsin,Milwaukee_WI
31,Milwaukee,WI,Milwaukee_WI,562407,Washington County,55131,Milwaukee city,Wisconsin,Milwaukee_WI
31,Milwaukee,WI,Milwaukee_WI,562407,Waukesha County,55133,Milwaukee city,Wisconsin,Milwaukee_WI
32,Albuquerque,NM,Albuquerque_NM,556588,Bernalillo County,35001,Albuquerque city,New Mexico,Albuquerque_NM
33,Fresno,CA,Fresno_CA,555549,Fresno County,06019,Fresno city,California,Fresno_CA
34,Tucson,AZ,Tucson_AZ,548371,Pima County,04019,Tucson city,Arizona,Tucson_AZ
35,Sacramento,CA,Sacramento_CA,536449,Sacramento County,06067,Sacramento city,California,Sacramento_CA
36,Atlanta,GA,Atlanta_GA,529110,DeKalb County,13089,Atlanta city,Georgia,Atlanta_GA
36,Atlanta,GA,Atlanta_GA,529110,Fulton County,13121,Atlanta city,Georgia,Atlanta_GA
37,Kansas City,MO,Kansas City_MO,521220,Cass County,29037,Kansas City city,Missouri,Kansas City_MO
37,Kansas City,MO,Kansas City_MO,521220,Clay County,29047,Kansas City city,Missouri,Kansas City_MO
37,Kansas City,MO,Kansas City_MO,521220,Jackson County,29095,Kansas City city,Missouri,Kansas City_MO
37,Kansas City,MO,Kansas City_MO,521220,Platte County,29165,Kansas City city,Missouri,Kansas City_MO
38,Mesa,AZ,Mesa_AZ,513656,Maricopa County,04013,Mesa city,Arizona,Mesa_AZ
39,Raleigh,NC,Raleigh_NC,506306,Durham County,37063,Raleigh city,North Carolina,Raleigh_NC
